created_at,category,title,handle,url,vendor,product_type,variants,price_min,price_max,tags
2025-02-14T11:15:17+09:00,LIVE/イベント物販,"Mori Calliope 2nd Concert ""Grimoire""ライブグッズ 2次販売",moricalliope_2ndconcert_2nd,https://shop.hololivepro.com/products/moricalliope_2ndconcert_2nd,Mori Calliope,,11,1760,11500,Generation_hololiveEnglish-Myth- | Group_ホロライブEnglish | moricalliope_2ndconcert | Recommended_MERCH | Talent_森カリオペ
2025-02-14T12:54:25+09:00,ボイス,ホロスターズEnglish「オー、マイ ペット Untitled Beast」ASMRボイス,holostarsen_asmrvoice_ohmypet_untitledbeast,https://shop.hololivepro.com/products/holostarsen_asmrvoice_ohmypet_untitledbeast,HOLOSTARS English,,4,2750,8250,Generation_ARMIS | Generation_TEMPUS | Group_ホロスターズEnglish | Recommended_デジタルコンテンツ | Talent_ガビス・ベッテル | Talent_ジュラルド・ティー・レクスフォード | Talent_万象院ハッカ | デジタルのみ | デジタルコンテンツ
2025-02-14T15:24:30+09:00,誕生日記念,猫又おかゆ 誕生日記念2025,nekomataokayu_bd2025,https://shop.hololivepro.com/products/nekomataokayu_bd2025,Nekomata Okayu,,6,0,20350,Generation_ホロライブゲーマーズ | Group_ホロライブ | Recommended_MERCH | Talent_猫又おかゆ | 受注生産商品
2025-02-18T11:27:51+09:00,その他,猫又おかゆ 2nd Album 『ぺるそにゃ～りすぺくと』数量限定盤,nekomataokayu_2ndal_personyarespect_limited,https://shop.hololivepro.com/products/nekomataokayu_2ndal_personyarespect_limited,Nekomata Okayu,,1,9900,9900,_ng_with_normal_group:NekomataOkayu2ndAlbum | CD | Generation_ホロライブゲーマーズ | Group_ホロライブ | nekomataokayu_2ndalbum | Recommended_MERCH | Talent_猫又おかゆ
2025-02-18T13:44:54+09:00,その他,ベスティア・ゼータ 猫の日2025,vestiazeta_catday,https://shop.hololivepro.com/products/vestiazeta_catday,Vestia Zeta,,7,1320,13420,Generation_ホロライブインドネシア3期生 | Group_ホロライブインドネシア | Recommended_MERCH | Recommended_デジタルコンテンツ | Talent_ベスティア・ゼータ | デジタルコンテンツ | 受注生産商品
2025-02-18T15:47:39+09:00,その他,猫又おかゆ 2nd Album 『ぺるそにゃ～りすぺくと』通常盤,nekomataokayu_2ndal_personyarespect_regular,https://shop.hololivepro.com/products/nekomataokayu_2ndal_personyarespect_regular,Nekomata Okayu,,1,3300,3300,CD | Generation_ホロライブゲーマーズ | Group_ホロライブ | nekomataokayu_2ndalbum | Recommended_MERCH | Talent_猫又おかゆ
2025-02-18T16:59:12+09:00,その他,hololive Magazine Series -Spotlight- vol.2,hololivemagazine_spotlight_vol2,https://shop.hololivepro.com/products/hololivemagazine_spotlight_vol2,hololive production official shop,,8,550,3850,Generation_ホロライブ3期生 | Generation_ホロライブ5期生 | Group_ホロライブ | hololive_magazine_spotlight | Recommended_MERCH | Talent_兎田ぺこら | Talent_尾丸ポルカ
2025-02-18T17:44:23+09:00,誕生日記念,影山シエン 誕生日記念2025,kageyamashien_bd2025,https://shop.hololivepro.com/products/kageyamashien_bd2025,Kageyama Shien,,6,495,10890,Generation_ホロスターズ3期生 | Group_ホロスターズ | Recommended_MERCH | Recommended_デジタルコンテンツ | Talent_影山シエン | デジタルコンテンツ | 受注生産商品
2025-02-19T10:30:17+09:00,ボイス,火威青「王子様の執着が止まらない」ASMRボイス,hiodoshiao_asmr_250226_kari,https://shop.hololivepro.com/products/hiodoshiao_asmr_250226_kari,Hiodoshi Ao,,1,2500,2500,ASMR2502 | Generation_ReGLOSS | Group_hololiveDEV_IS | Recommended_デジタルコンテンツ | Talent_火威青 | デジタルのみ | デジタルコンテンツ
2025-02-19T10:45:52+09:00,ボイス,角巻わため「ふわふわ羊の寝かしつけ」ASMRボイス,tsunomakiwatame_asmr_250226_kari,https://shop.hololivepro.com/products/tsunomakiwatame_asmr_250226_kari,Tsunomaki Watame,,1,2500,2500,ASMR2502 | Generation_ホロライブ4期生 | Group_ホロライブ | Recommended_デジタルコンテンツ | Talent_角巻わため | デジタルのみ | デジタルコンテンツ
2025-02-19T11:49:38+09:00,ボイス,兎田ぺこら「うさぎ喫茶で癒しの午後」ASMRボイス,usadapekora_asmr_250226_kari,https://shop.hololivepro.com/products/usadapekora_asmr_250226_kari,Usada Pekora,,1,2500,2500,ASMR2502 | Generation_ホロライブ3期生 | Group_ホロライブ | Recommended_デジタルコンテンツ | Talent_兎田ぺこら | デジタルのみ | デジタルコンテンツ
2025-02-19T12:04:10+09:00,ボイス,アイラニ・イオフィフティーン「キミが最初のお客さま～今日から耳マッサージ店で働きます～」ASMRボイス,airaniiofifteen_asmr_250226_kari,https://shop.hololivepro.com/products/airaniiofifteen_asmr_250226_kari,Airani Iofifteen,,1,2500,2500,ASMR2502 | Generation_ホロライブインドネシア1期生 | Group_ホロライブインドネシア | Recommended_デジタルコンテンツ | Talent_アイラニ・イオフィフティーン | デジタルのみ | デジタルコンテンツ
2025-02-21T10:00:16+09:00,ボイス,ホロスターズEnglish「オー、マイ ペット Fluffy Puppy」ASMRボイス,holostarsen_asmrvoice_ohmypet_fluffypuppy,https://shop.hololivepro.com/products/holostarsen_asmrvoice_ohmypet_fluffypuppy,HOLOSTARS English,,4,2750,8250,Generation_ARMIS | Generation_TEMPUS | Group_ホロスターズEnglish | Recommended_デジタルコンテンツ | Talent_アクセル・シリオス | Talent_オクタビオ | Talent_ゴールドブレット | デジタルのみ | デジタルコンテンツ
